timestamp,system,experiment,use_sde,use_derivative,train_loss,val_loss,test_mse,epoch
20260626_055238,sir,spectral_norm,False,False,8.315717120965322,8.116284608840942,0.0138059798628091,10000
20260626_065046,sir,no_spec,False,False,0.0001933478312518,0.0009865341708064,0.0067402399145066,10000
20260626_084858,ogtt_simul,spec,False,False,0.0022365311101237,0.0020743261313926,0.0859593600034713,1000
20260701_021704,ogtt_simul,no_spec,False,False,2.3958165052426147e-05,2.2904090011378904e-05,0.08545012027025223,1000
