timestamp,system,experiment,uuid,git_hash,use_sde,use_lagrangian,best_val_loss,test_param_mse,scenario,real_ratio,train_loss,val_loss,test_mse,epoch
20251127_011926,ogtt_simul,sde_only_spectral_norm,a2b8a525,53a3307,True,True,,,,,7623.075604838709,7456.969757080078,0.4208748936653137,2.0
20251127_012523,ogtt_simul,baseline_det_vanilla,5c82c448,53a3307,False,True,,,,,7655.732315726902,7380.977203369141,0.4252291023731231,2.0
20251127_012632,ogtt_simul,baseline_det_spectral_norm,efc8ca69,53a3307,False,True,,,,,8031.749596637228,7739.1019287109375,0.3529193103313446,2.0
20251127_012744,ogtt_simul,baseline_det_consistency_loss,db0024bc,53a3307,False,True,,,,,7715.982814622962,7457.3929443359375,0.0885013714432716,2.0
20251127_015926,ogtt_simul,ode_pure_vanilla,b9c04932,53a3307,False,True,,,,,8940.333984375,6822.499206542969,0.3389988839626312,2.0
20251127_020152,ogtt_simul,ode_pure_vanilla,6dc007fe,53a3307,False,True,,,,,8940.333984375,6822.499206542969,0.3389988839626312,2.0
20251127_020301,ogtt_simul,sde_pure_vanilla,5d734a3d,53a3307,True,True,,,,,3750.156715691726,3173.048535935422,0.1137711554765701,2.0
20251127_020413,ogtt_simul,ode_hybrid_vanilla,7501abab,53a3307,False,True,,,,,8147.556966145833,6708.438720703125,0.3424561321735382,2.0
20251127_020521,ogtt_simul,sde_hybrid_vanilla,6a7c6ccc,53a3307,True,True,,,,,4025.837325405067,3149.065006337268,0.1013180315494537,2.0
20251127_020633,ogtt_simul,mix_pure_vanilla,37598601,53a3307,True,True,,,,,3758.5273715315193,3223.9483441225034,0.1102715507149696,2.0
20251127_020745,ogtt_simul,mix_hybrid_vanilla,d2b09090,53a3307,True,True,,,,,3870.856399484055,3228.12209422318,0.1053946986794471,2.0
20251127_062304,ogtt_simul,ode_pure_vanilla,8d4e762e,53a3307,False,True,,,,,402.6709157694941,245.457200050354,0.1934713721275329,911.0
20251127_062730,ogtt_simul,sde_pure_vanilla,14c033e2,53a3307,True,True,,,,,302.64965928296107,288.06733550700045,0.166995108127594,165.0
20251127_064617,ogtt_simul,ode_hybrid_vanilla,c6aa0a73,53a3307,False,True,,,,,342.7834701538086,101.36852049827576,0.3504945635795593,770.0
20251127_065043,ogtt_simul,sde_hybrid_vanilla,fc4add55,53a3307,True,True,,,,,236.8984729612525,158.79417707365968,0.1441894173622131,179.0
20251127_071313,ogtt_simul,mix_pure_vanilla,f40febcb,53a3307,True,True,,,,,645.7043069733149,603.6250028944507,0.1027963981032371,182.0
20251127_073430,ogtt_simul,mix_hybrid_vanilla,53c11f6a,53a3307,True,True,,,,,617.6612939310597,501.5809054659814,0.1165380254387855,201.0
20251127_100702,ogtt_simul,ode_pure_vanilla,17bdab1b,53a3307,False,True,,,,,99.3913252664649,24.57833442091942,0.0984938815236091,2141.0
20251127_101606,ogtt_simul,ode_pure_spectral_norm,b3ced9ce,53a3307,False,True,,,,,48.760014430336334,27.963197112083435,0.0980672016739845,11233.0
20251127_131347,ogtt_simul,ode_pure_consistency_loss,d533cba9,53a3307,False,True,,,,,53.98961261562679,8.406238794326782,0.0951726883649826,3549.0
20251127_133028,ogtt_simul,ode_pure_full_method,a8c3417c,53a3307,False,True,,,,,73.9656522999639,43.987954914569855,0.060149285942316,9612.0
20251127_170908,ogtt_simul,sde_pure_vanilla,ec7718c7,53a3307,True,True,,,,,3.11972685749636,11.24843513838518,0.1592155992984771,1360.0
20251127_193550,ogtt_simul,sde_pure_spectral_norm,aaee0103,53a3307,True,True,,,,,18.53625535524078,19.1058519115326,0.1556187123060226,4871.0
20251129_102319,ogtt_simul,sde_pure_consistency_loss,98c94a57,53a3307,True,True,,,,,2.8266588210593246,10.311473082886067,0.3089959025382995,1438.0
20251130_012948,ogtt_simul,ode_pure_consistency_loss,7966742c,53a3307,False,True,,,,,0.8611601046893907,0.4016520511358976,0.4126636683940887,1596.0
20251201_124047,ogtt_simul,ode_pure_full_method,8640ab66,decf738,False,True,,,,,0.3279618517212245,0.1599198309704661,0.0623305812478065,2.0
20251201_124159,ogtt_simul,sde_pure_full_method,f567cc3f,decf738,True,True,,,,,0.3181617804094195,0.159195528546376,0.0627215504646301,2.0
20251201_125142,ogtt_simul,ode_pure_full_method,3587b927,decf738,False,True,,,,,0.3279618517212245,0.1599198309704661,1.0535680055618286,2.0
20251201_125255,ogtt_simul,sde_pure_full_method,f371313a,decf738,True,True,,,,,0.3181617804094195,0.159195528546376,1.0639268159866333,2.0
